name,amount,disregarded
all-trans-neurosporene,8,false
all-trans-phytofluene,8,false
an aromatic aldehyde,7,false
cholest-4-en-3-one,7,false
thymine,7,false
a flavanone,7,false
D-glucosamine 6-phosphate,7,false
4-hydroxyphenylpyruvate,7,false
4-aminobutanal,7,false
L-cystathionine,7,false
acetoacetate,7,false
trans-cinnamate,7,false
2 oxidized [2Fe-2S] ferredoxin,7,false
presqualene diphosphate,7,false
beta-D-glucose 1-phosphate,7,false
reduced flavodoxin,7,false
2 nitric oxide,7,false
taurine,7,false
pyridoxal 5'-phosphate,7,false
"2,3-dihydroxybenzoate",7,false
2-oxoglutaramate,7,false
2-phospho-D-glycerate,7,false
"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate",7,false
phenylpyruvate,7,false
adenylyl sulfate,7,false
L-ascorbate,7,false
3 NADP+,7,false
3 NADPH,7,false
oxalyl-CoA,7,false
[DNA ligase]-L-lysine,7,false
indole,7,false
D-gluconate,7,false
butanoyl-CoA,7,false
6 H2O,7,false
a [histone H3]-L-lysine9,7,false
2 formaldehyde,7,false
bromide,7,false
D-glyceraldehyde,7,false
a holo-[acyl-carrier protein],7,false
L-sorbose,7,false
D-xylulose 5-phosphate,7,false
prephenate,7,false
2-,7,false
1-phosphatidyl-1D-myo-inositol,7,false
CoB,7,false
CoM-S-S-CoB,7,false
"a 1,2-diacyl-sn-glycerol",7,false
a [histone H3]-N6-methyl-L-lysine27,7,false
3-oxopropanoate,7,false
glycolaldehyde,7,false
ROOH,7,false
iodide,7,false
urate,7,false
phosphocholine,7,false
"a [histone H3]-N6,N6-dimethyl-L-lysine4",7,false
arsenate,7,false
arsenite,7,false
[protein]-L-arginine,7,false
arachidonate,7,false
10-formyltetrahydrofolate,7,false
5-methyltetrahydrofolate,7,false
benzyl alcohol,6,false
4-hydroxybenzaldehyde,6,false
9alpha-copalyl diphosphate,6,false
5-guanidino-2-oxopentanoate,6,false
GDP-mannose,6,false
violaxanthin,6,false
thymidine,6,false
cytidine,6,false
uridine,6,false
"D-fructose 1,6-bisphosphate",6,false
isocitrate,6,false
xylitol,6,false
riboflavin,6,false
hypoxanthine,6,false
thiamine,6,false
acetone,6,false
toluene,6,false
dimethylamine,6,false
phosphatidylcholine,6,false
maltose,6,false
L-leucine,6,false
oxidized flavodoxin,6,false
nitrate,6,false
a phenol,6,false
"2,3-bisphospho-D-glycerate",6,false
phenylacetyl-CoA,6,false
2-oxopropanal,6,false
CDP-choline,6,false
cyclo,6,false
a long-chain alcohol,6,false
UDP-alpha-D-xylose,6,false
sucrose,6,false
D-xylulose,6,false
4 CO2,6,false
L-leucyl-tRNALeu,6,false
tRNALeu,6,false
D-ribulose,6,false
"alpha,alpha-trehalose 6-phosphate",6,false
2-dehydro-3-deoxy-6-phospho-D-gluconate,6,false
"7,8-dihydroneopterin 3'-triphosphate",6,false
triphosphate,6,false
4 O2,6,false
2 2-oxoglutarate,6,false
2 succinate,6,false
dimethyl sulfide,6,false
nucleoside triphosphate,6,false
D-mannitol,6,false
vanillin,6,false
a D-amino acid,6,false
D-erythrose 4-phosphate,6,false
ethanol,6,false
5-dehydro-D-fructose,6,false
Na+[side 1],6,false
Na+[side 2],6,false
L-dehydroascorbate,6,false
glycerone,6,false
3-phospho-D-glyceroyl phosphate,6,false
L-carnitine,6,false
4 H+[side 2],6,false
D-galactose,6,false
geraniol,6,false
inosine,6,false
[acceptor protein]-L-lysine,6,false
a [histone H3]-L-lysine36,6,false
"ditrans,octacis-undecaprenyl phosphate",6,false
linoleate,6,false
an L-cysteine-S-conjugate,6,false
triacylglycerol,6,false
cyanide,6,false
peptide-L-methionine,6,false
methanethiol,6,false
"3,8-divinyl protochlorophyllide a",6,false
alpha-D-galactose 1-phosphate,6,false
"a [histone H3]-N6,N6-dimethyl-L-lysine27",6,false
3--L-alanine,6,false
NDP,6,false
CDP-diacylglycerol,6,false
dTMP,6,false
androstenedione,6,false
Man5GlcNAc2-[protein],6,false
palmitate,5,false
a sphingoid base,5,false
"a 5,6,7,8-tetrahydropteridine",5,false
homogentisate,5,false
choloyl-CoA,5,false
thiamine phosphate,5,false
(S)-2-amino-6-oxohexanoate,5,false
L-kynurenine,5,false
aniline,5,false
D-glucosamine,5,false
L-cysteate,5,false
4-,5,false
GDP-4-dehydro-alpha-D-rhamnose,5,false
"L-2,4-diaminobutanoate",5,false
3-hydroxybenzoate,5,false
"1,2-diacyl-sn-glycerol 3-phosphate",5,false
3-dehydroquinate,5,false
alpha-D-aldose 1-phosphate,5,false
plastoquinol,5,false
D-tagatose 6-phosphate,5,false
a long-chain carboxylate,5,false
3 CoA,5,false
malonate,5,false
testosterone,5,false
"2,4,6/3,5-pentahydroxycyclohexanone",5,false
D-ornithine,5,false
L-arogenate,5,false
a long-chain aldehyde,5,false
beta-nicotinate D-ribonucleotide,5,false
lithocholate,5,false
L-citrulline,5,false
4-amino-4-deoxychorismate,5,false
4-methylphenol,5,false
2-O--D-glycerate,5,false
dCMP,5,false
dUMP,5,false
dopamine,5,false
N2,5,false
antheraxanthin,5,false
XMP,5,false
hydroxyquinol,5,false
RNAn,5,false
RNAn+1,5,false
L-2-amino-3-oxobutanoate,5,false
creatine,5,false
RH,5,false
2-dehydro-D-gluconate,5,false
5 CO2,5,false
lipopolysaccharide,5,false
formyl-CoA,5,false
"1,5-anhydro-D-fructose",5,false
6-phospho-D-gluconate,5,false
2 quinone,5,false
beta-carotene,5,false
a [histone H3]-L-lysine27,5,false
"2,5-dioxopentanoate",5,false
5 malonyl-CoA,5,false
D-tagatose,5,false
calcidiol,5,false
"a [histone H3]-N6,N6,N6-trimethyl-L-lysine9",5,false
[acceptor protein]-N6-ubiquitinyl-L-lysine,5,false
xanthine,5,false
1-deoxy-D-xylulose 5-phosphate,5,false
phenylglyoxylate,5,false
FMN-N5-oxide,5,false
6-hydroxynicotinate,5,false
reduced electron acceptor,5,false
1-aminocyclopropane-1-carboxylate,5,false
[E1 ubiquitin-activating enzyme]-L-cysteine,5,false
[protein]-Nomega-methyl-L-arginine,5,false
(+)-copalyl diphosphate,5,false
beta-D-glucose,5,false
n Na+[side 1],5,false
n Na+[side 2],5,false
a thiol,5,false
an acetyl-[acyl-carrier protein],5,false
UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate,5,false
D-xylose,5,false
2 L-glutamine,5,false
a nucleoside diphosphate,5,false
D-lysine,5,false
"5,10-methenyltetrahydrofolate",5,false
pheophorbide a,5,false
H+[side 2],5,false
N-acetylneuraminate,5,false
butanoate,5,false
an anthocyanidin 3-O-beta-D-glucoside,5,false
cyclohexanone,5,false
[protein]-L-lysine,5,false
Man9GlcNAc2-[protein],5,false
guanine,5,false
"9beta-pimara-7,15-diene",4,false
caffeoyl-CoA,4,false
N-formimidoyl-L-glutamate,4,false
isochorismate,4,false
phosphatidylglycerol,4,false
tRNAAla,4,false
6 reduced ferredoxin [iron-sulfur] cluster,4,false
6 oxidized ferredoxin [iron-sulfur] cluster,4,false
2-deoxy-alpha-D-ribose 1-phosphate,4,false
2'-deoxyuridine,4,false
dTDP-4-dehydro-6-deoxy-alpha-D-glucose,4,false
protein,4,false
L-xylulose,4,false
"5,10-methylenetetrahydromethanopterin",4,false
2-hydroxy-3-oxopropanoate,4,false
"a 4a-hydroxy-5,6,7,8-tetrahydropteridine",4,false
N2-acetyl-L-ornithine,4,false
2-methylfumaryl-CoA,4,false
trans-aconitate,4,false
"a trans-2,3-dehydroacyl-[acyl-carrier protein]",4,false
UDP-N-acetyl-alpha-D-muramate,4,false
L-pipecolate,4,false
-2-oxobut-3-enoate,4,false
(S)-lactate,4,false
streptomycin,4,false
C30 botryococcene,4,false
(R)-lactate,4,false
aminoacetone,4,false
4-methyl-2-oxopentanoate,4,false
benzaldehyde,4,false
quinate,4,false
an ornithine lipid,4,false
2-acyl-sn-glycero-3-phosphocholine,4,false
[enzyme]-Ntau-phospho-L-histidine,4,false
[enzyme]-L-histidine,4,false
3-phosphonopyruvate,4,false
vomilenine,4,false
S-methyl-L-methionine,4,false
1-phosphatidyl-1D-myo-inositol 4-phosphate,4,false
acryloyl-CoA,4,false
phenylacetate,4,false
cellobiose,4,false
a phosphatidylcholine,4,false
"an [RNA fragment]-3'-adenosine-2',3'-cyclophosphate",4,false
[RNA] containing guanosine,4,false
dolichol,4,false
3-,4,false
S-,4,false
4--2-oxobutanoate,4,false
a 3-oxo-DELTA4-steroid,4,false
2 L-methionine,4,false
sphingosine,4,false
N-acetyl-alpha-D-glucosamine 1-phosphate,4,false
6 NADPH,4,false
6 NADP+,4,false
3-oxo-5beta-cholan-24-oate,4,false
D-tryptophan,4,false
UDP-D-xylose,4,false
myo-inositol hexakisphosphate,4,false
dTDP-4-dehydro-beta-L-rhamnose,4,false
sedoheptulose 7-phosphate,4,false
D-arabinitol,4,false
6-oxohexanoate,4,false
hydroquinone,4,false
3-propanoate,4,false
"L-2,3-diaminopropanoate",4,false
D-aspartate,4,false
anthraniloyl-CoA,4,false
carbonyl sulfide,4,false
histamine,4,false
molybdenum cofactor,4,false
"5,6-dihydrouracil",4,false
2 reduced azurin,4,false
dTDP-beta-L-rhamnose,4,false
L-glutamate 5-semialdehyde,4,false
5-aminopentanoate,4,false
gamma-L-glutamyl-L-cysteine,4,false
tyramine,4,false
betaine aldehyde,4,false
ADP-alpha-D-glucose,4,false
histone L-lysine,4,false
histone N6-methyl-L-lysine,4,false
a [histone H4]-N6-methyl-L-lysine20,4,false
[protein]-L-serine,4,false
[protein]-L-threonine,4,false
ferruginol,4,false
D-fructuronate,4,false
"7,8-dihydroneopterin 3'-phosphate",4,false
"1D-myo-inositol 1,3,4,5,6-pentakisphosphate",4,false
S-methyl-5-thio-D-ribulose 1-phosphate,4,false
dolichyl beta-D-mannosyl phosphate,4,false
D-arginine,4,false
2-dehydro-3-deoxy-6-phospho-D-galactonate,4,false
"ent-cassa-12,15-diene",4,false
L-allo-threonine,4,false
phloroglucinol,4,false
deamido-NAD+,4,false
biotin,4,false
dCTP,4,false
N-acetyl-D-glucosamine 6-phosphate,4,false
11-oxo-beta-amyrin,4,false
6 CoA,4,false
selenophosphate,4,false
3-acetamidopropanal,4,false
an alpha-linolenoyl-[glycerolipid],4,false
thiamine diphosphate,4,false
3-hydroxyanthranilate,4,false
5-dehydro-4-deoxy-D-glucarate,4,false
2-dehydro-3-deoxy-L-galactonate,4,false
1-phosphatidyl-1D-myo-inositol 3-phosphate,4,false
"LL-2,6-diaminoheptanedioate",4,false
L-2-aminoadipate,4,false
"1,5-anhydro-4-deoxy-D-glycero-hex-3-en-2-ulose",4,false
"6-phospho-D-glucono-1,5-lactone",4,false
phylloquinone,4,false
2 quinol,4,false
4 H+[side 1],4,false
a 2'-deoxyribonucleoside,4,false
ethanolamine phosphate,4,false
2 monodehydroascorbate,4,false
beta-D-fructofuranose 6-phosphate,4,false
2-aminomalonate semialdehyde,4,false
2-aminoacetaldehyde,4,false
phenylacetaldehyde,4,false
4-phospho-D-erythronate,4,false
kanamycin A,4,false
glutathionylspermidine,4,false
octanoyl-CoA,4,false
2-hydroxybenzoyl-CoA,4,false
a long-chain acyl-CoA,4,false
a sterol,4,false
carboxyphosphate,4,false
isoeugenol,4,false
"5,6,7,8-tetrahydromethanopterin",4,false
diphthine-[translation elongation factor 2],4,false
3'-O-methyltricetin,4,false
"3',5'-O-dimethyltricetin",4,false
tricetin,4,false
"2,5-dihydroxybenzoate",4,false
2-iminoacetate,4,false
10-deoxymethymycin,4,false
"dibenzothiophene-5,5-dioxide",4,false
a 14alpha-hydroxymethylsteroid,4,false
a 14alpha-formylsteroid,4,false
a 14alpha-methylsteroid,4,false
a DELTA14-steroid,4,false
L-homoserine,4,false
protein L-histidine,4,false
plastoquinone,4,false
beta-D-glucopyranose,4,false
S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine,4,false
3-dehydro-4-phospho-D-erythronate,4,false
a protopanaxadiol-type ginsenoside with one glucosyl residue at position 3,4,false
"7,8-didemethyl-8-hydroxy-5-deazariboflavin",4,false
2-dehydro-3-deoxy-D-galactonate,4,false
-geranylfarnesyl diphosphate,4,false
D-mannose,4,false
progesterone,4,false
131-oxo-magnesium-protoporphyrin IX 13-monomethyl ester,4,false
magnesium-protoporphyrin IX 13-monomethyl ester,4,false
131-hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester,4,false
D-mannose 6-phosphate,4,false
uroporphyrinogen III,4,false
precorrin-2,4,false
glutaryl-CoA,4,false
dimethyl sulfoxide,4,false
CDP,4,false
S-methyl-5-thio-alpha-D-ribose 1-phosphate,4,false
coproporphyrinogen III,4,false
[heparan sulfate]-glucosamine,4,false
ent-kaur-16-en-19-oate,4,false
sirohydrochlorin,4,false
[LarE]-dehydroalanine,4,false
pyridin-1-ium-3-carboxylate-5-thiocarboxylate mononucleotide,4,false
4 S-adenosyl-L-methionine,4,false
4 S-adenosyl-L-homocysteine,4,false
hercynine,4,false
vanillate,4,false
ginsenoside Rd,4,false
pyridoxine,4,false
guanidinoacetate,4,false
2-hydroxyethylphosphonate,4,false
biliverdin IXalpha,4,false
phytyl diphosphate,4,false
Fe-coproporphyrin III,4,false
L-erythrulose 1-phosphate,4,false
UDP-alpha-D-kanosamine,4,false
4 ferrocytochrome c,4,false
4 ferricytochrome c,4,false
holo-[aryl-carrier protein],4,false
5-oxo-L-proline,4,false
dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose,4,false
oxidized acceptor,4,false
2-oxospirilloxanthin,4,false
a monosaccharide,4,false
"a [histone H3]-N6,N6,N6-trimethyl-L-lysine36",4,false
"a [histone H3]-N6,N6,N6-trimethyl-L-lysine27",4,false
leukotriene A4,4,false
a 5'-hydroxy-ribonucleotide-3'-[RNA],4,false
2 Nomega-hydroxy-L-arginine,4,false
2 L-citrulline,4,false
2 L-arginine,4,false
2 geranylgeranyl diphosphate,4,false
prephytoene diphosphate,4,false
a [DsrC protein]-disulfide,4,false
a [DsrC protein]-S-sulfanyl-L-cysteine,4,false
[protein]-L-asparagine,4,false
beta-D-mannopyranose,4,false
an aryl sulfate,4,false
5'-adenosyl [DNA ligase]-Nepsilon-phosphono-L-lysine,4,false
3'-dephospho-CoA,3,false
hexadecanal,3,false
L-gulonate,3,false
trimethylamine,3,false
L-alanyl-tRNAAla,3,false
isovaleryl-CoA,3,false
3 NADH,3,false
3 NAD+,3,false
1L-myo-inositol 1-phosphate,3,false
cytosine,3,false
"2,3-epoxyphylloquinone",3,false
phylloquinol,3,false
3-hydroxybenzoyl-CoA,3,false
stearoyl-CoA,3,false
oxalosuccinate,3,false
propanal,3,false
N-acetyl-L-glutamate 5-semialdehyde,3,false
(S)-3-hydroxy-3-methylglutaryl-CoA,3,false
cis-aconitate,3,false
hydrogen cyanide,3,false
kanosamine 6-phosphate,3,false
3-oxoisoapionate 4-phosphate,3,false
geranial,3,false
8-amino-7-oxononanoate,3,false
1-pyrroline-2-carboxylate,3,false
"P1,P4-bis tetraphosphate",3,false
4'-O-methylnorbelladine,3,false
1-alkyl-sn-glycero-3-phosphocholine,3,false
glycerol 1-phosphate,3,false
"2,5-dihydroxypyridine",3,false
3-hydroxypropanoate,3,false
malonate semialdehyde,3,false
(R)-1-aminopropan-2-ol,3,false
"1D-myo-inositol 1,3,4-trisphosphate",3,false
"1D-myo-inositol 1,3,4,5-tetrakisphosphate",3,false
aklavinone,3,false
a 3-oxosteroid,3,false
"2-C-methyl-D-erythritol 2,4-cyclodiphosphate",3,false
L-cysteinylglycine,3,false
3-dehydro-L-erythronate,3,false
5-hydroxyisourate,3,false
2-dehydropantolactone,3,false
isopyridoxal,3,false
2-hydroxymuconate-6-semialdehyde,3,false
"-2-hydroxyhexa-2,4-dienedioate",3,false
chlorophyll a,3,false
a jasmonoyl-L-amino acid,3,false
jasmonate,3,false
lactose,3,false
N-acyl-D-mannosamine 6-phosphate,3,false
tetracycline,3,false
diglucosyl-enterobactin,3,false
enterobactin,3,false
monoglucosyl-enterobactin,3,false
2-deoxystreptamine,3,false
"1,2,3-trihydroxybenzene",3,false
trans-4-hydroxy-L-proline,3,false
propanoyl phosphate,3,false
L-selenocysteine,3,false
dTTP,3,false
menaquinol,3,false
nitrous oxide,3,false
menaquinone,3,false
an [RNA fragment]-3'-adenosine-3'-phosphate,3,false
2-dehydro-3-deoxy-L-rhamnonate,3,false
hypotaurine,3,false
an N-acyl-L-homoserine lactone,3,false
3-hydroxypyruvate,3,false
D-mannitol 1-phosphate,3,false
"6-geranylgeranyl-2-methylbenzene-1,4-diol",3,false
"2-methyl-6-phytylbenzene-1,4-diol",3,false
cobyrinate,3,false
nucleoside diphosphate,3,false
2-aminomuconate,3,false
"3,7-dimethylxanthine",3,false
7-methylxanthine,3,false
abscisate,3,false
"L-galactono-1,4-lactone",3,false
a bacteriochlorophyllide c,3,false
2 5'-deoxyadenosine,3,false
8 H+,3,false
estrone,3,false
N-acetyl-L-glutamate,3,false
7-cyano-7-carbaguanine,3,false
dTDP-6-deoxy-beta-L-talose,3,false
oleoyl-CoA,3,false
linoleoyl-CoA,3,false
"3,4-dihydroxyphenylacetate",3,false
apo-[C-phycocyanin beta-subunit],3,false
pyrrole-2-carboxylate,3,false
a 2'-deoxyribonucleoside 5'-triphosphate,3,false
DNAn,3,false
DNAn+1,3,false
"5beta-cholestane-3alpha,7alpha,12alpha-triol",3,false
a 2-oxocarboxylate,3,false
lactate,3,false
UDP-N-acetyl-alpha-D-mannosamine,3,false
RNA,3,false
"6-pyruvoyl-5,6,7,8-tetrahydropterin",3,false
N-carbamoyl-2-oxoglycine,3,false
UDP-N-acetyl-alpha-D-muramoyl-L-alanine,3,false
(2S)-2-amino-4-deoxychorismate,3,false
3-aminopropanal,3,false
n ATP,3,false
n H2O,3,false
n ADP,3,false
n phosphate,3,false
adenine37 in tRNA,3,false
a [protein]-L-tyrosine,3,false
a [protein]-L-tyrosine phosphate,3,false
thiocyanate,3,false
ferricytochrome c,3,false
ferrocytochrome c,3,false
sucrose 6F-phosphate,3,false
urea-1-carboxylate,3,false
phospho-5'-[DNA],3,false
2 oxidized azurin,3,false
4-pyridoxate,3,false
glutarate,3,false
(S)-2-hydroxyglutarate,3,false
6-amino-6-deoxyfutalosine,3,false
"dTDP-4-amino-2,3,4,6-tetradeoxy-alpha-D-erythro-hexopyranose",3,false
monacolin L acid,3,false
2-methyl-3-oxopropanoate,3,false
"1D-myo-inositol 1,4,5-trisphosphate",3,false
1-palmitoyl-2-acyl-sn-glycero-3-phosphocholine,3,false
lipid IVA,3,false
oleanolate,3,false
N2-succinyl-L-ornithine,3,false
CMP-N-acylneuraminate,3,false
N-acylneuraminate,3,false
N6-,3,false
ent-sandaracopimaradien-3beta-ol,3,false
"a [histone H4]-N6,N6-dimethyl-L-lysine20",3,false
adenosylcobinamide,3,false
4-trimethylammoniobutanoate,3,false
dihydromonacolin L acid,3,false
"2-O-sulfo-alpha,alpha-trehalose",3,false
3'-phospho-5'-adenylyl sulfate,3,false
tropine,3,false
"D-ribulose 1,5-bisphosphate",3,false
a [histone H4]-L-lysine20,3,false
cyanidin 3-O-beta-D-glucoside,3,false
dihydrofolate,3,false
adenine in mRNA,3,false
"UDP-N,N'-diacetylbacillosamine",3,false
ecdysone,3,false
resorcinol,3,false
4-methylaminobutanoate,3,false
a [protein]-L-arginine,3,false
"UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate",3,false
"1,8-cineole",3,false
L-cystine,3,false
2 dimethylallyl diphosphate,3,false
6 ferrocytochrome b5,3,false
6 ferricytochrome b5,3,false
